	Data_Source	Review_Date	Sentiment	Geography	Product	Review	Keywords	Aspect	Product_Family	Title	Sentiment_Score	Review_Count
381	BestBuy	2/10/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""the seamless integration of its powerful component ensure that I never experience any lag or slowdown, allow I to stay productive throughout the day."""	component	Hardware	Microsoft Surface Pro 9 13		1	1.0
382	BestBuy	2/10/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""the seamless integration of its powerful component ensure that I never experience any lag or slowdown, allow I to stay productive throughout the day."""	powerful	Performance	Microsoft Surface Pro 9 13		1	1.0
383	BestBuy	2/10/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""the seamless integration of its powerful component ensure that I never experience any lag or slowdown, allow I to stay productive throughout the day."""	integration	Software	Microsoft Surface Pro 9 13		1	1.0
384	BestBuy	3/22/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""so I like the look of a big screen, but still very compact."""	screen	Display	Microsoft Surface Pro 9 13		1	1.0
385	BestBuy	3/22/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""so I like the look of a big screen, but still very compact."""	look	Design	Microsoft Surface Pro 9 13		1	1.0
386	BestBuy	2/17/2024 0:00	Positive	US	Windows 11 (Preinstall)	I also love the blue color.	color	Design	Microsoft Surface Pro 9 13		1	1.0
387	BestBuy	2/17/2024 0:00	Positive	US	Windows 11 (Preinstall)	I also love the blue color.	blue	Hardware	Microsoft Surface Pro 9 13		1	1.0
388	BestBuy	2/2/2024 0:00	Positive	US	Windows 11 (Preinstall)	they be courteous throughout my visit and purchase experience.	purchase	Price	Microsoft Surface Pro 7 Plus 12		1	1.0
389	BestBuy	3/2/2024 0:00	Positive	US	Windows 11 (Preinstall)	speed be fine.	speed	Performance	Microsoft Surface Pro 9 13		1	1.0
390	BestBuy	3/19/2024 0:00	Positive	US	Windows 11 (Preinstall)	Super fast and comfortable to use.	fast	Performance	Microsoft Surface Pro 7 Plus 12		1	1.0
391	BestBuy	2/5/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""fast and effective to produce work with Word, Excel, PowerPoint, etc."""	word	Software	Microsoft Surface Pro 9 13		1	1.0
392	BestBuy	2/5/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""fast and effective to produce work with Word, Excel, PowerPoint, etc."""	fast	Performance	Microsoft Surface Pro 9 13		1	1.0
393	BestBuy	2/3/2024 0:00	Positive	US	Windows 11 (Preinstall)	I like the Pros because of size of screen and weight.	screen	Display	Microsoft Surface Pro 9 13		1	1.0
394	BestBuy	3/1/2024 0:00	Positive	US	Windows 11 (Preinstall)	I will try and communicate one more time with the support.	communicate	Connectivity	Microsoft Surface Pro 7 Plus 12		1	1.0
395	BestBuy	3/31/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""I recommend a minimum i7 processor, 16 gig of memory and 256 of storage- or more storage depend on your need."""	gig	Storage/Memory	Microsoft Surface Pro 9 13		0	1.0
396	BestBuy	3/31/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""I recommend a minimum i7 processor, 16 gig of memory and 256 of storage- or more storage depend on your need."""	processor	Hardware	Microsoft Surface Pro 9 13		0	1.0
397	BestBuy	2/16/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""with 16 GB ram and 256 GB SSI Solid State Internal, not a mechanical HD hard drive."""	hard	Hardware	Microsoft Surface Pro 9 13		0	1.0
398	BestBuy	2/16/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""with 16 GB ram and 256 GB SSI Solid State Internal, not a mechanical HD hard drive."""	internal	Audio-Microphone	Microsoft Surface Pro 9 13		0	1.0
399	BestBuy	2/16/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""with 16 GB ram and 256 GB SSI Solid State Internal, not a mechanical HD hard drive."""	ram	Storage/Memory	Microsoft Surface Pro 9 13		0	1.0
400	BestBuy	2/2/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""only ask be if battery life be long, but certainly not a deal breaker for I."""	deal	Price	Microsoft Surface Pro 9 13		0	1.0
401	BestBuy	2/2/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""only ask be if battery life be long, but certainly not a deal breaker for I."""	battery	Battery	Microsoft Surface Pro 9 13		0	1.0
402	BestBuy	2/16/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""however, battery life can vary, depend on usage and the Type Cover may incur additional cost."""	cost	Price	Microsoft Surface Pro 9 13		0	1.0
403	BestBuy	2/16/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""however, battery life can vary, depend on usage and the Type Cover may incur additional cost."""	cover	Hardware	Microsoft Surface Pro 9 13		0	1.0
404	BestBuy	2/16/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""however, battery life can vary, depend on usage and the Type Cover may incur additional cost."""	type	Keyboard	Microsoft Surface Pro 9 13		0	1.0
405	BestBuy	2/16/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""however, battery life can vary, depend on usage and the Type Cover may incur additional cost."""	usage	Performance	Microsoft Surface Pro 9 13		0	1.0
406	BestBuy	2/16/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""however, battery life can vary, depend on usage and the Type Cover may incur additional cost."""	battery	Battery	Microsoft Surface Pro 9 13		0	1.0
407	BestBuy	3/18/2024 0:00	Negative	US	Windows 11 (Preinstall)	"""struggle a bit with adobe premire, but that s adobe."""	adobe	Software	Microsoft Surface Pro 9 13		-1	1.0
408	BestBuy	2/3/2024 0:00	Positive	US	Windows 11 (Preinstall)	I then decide to take a chance and buy one from Best Buy and I be SOOO happy with my purchase.	buy	Price	Microsoft Surface Pro 7 Plus 12		1	1.0
409	BestBuy	3/1/2024 0:00	Positive	US	Windows 11 (Preinstall)	I be happy with this purchase.	purchase	Price	Microsoft Surface Pro 9 13		1	1.0
410	BestBuy	3/22/2024 0:00	Positive	US	Windows 11 (Preinstall)	ut come wirh for 6 month but I be happy with purchase.	purchase	Price	Microsoft Surface Pro 9 13		1	1.0
411	BestBuy	3/2/2024 0:00	Positive	US	Windows 11 (Preinstall)	tell I good purchase.	purchase	Price	Microsoft Surface Pro 9 13		1	1.0
